,ProgramID,month,day,year,Program Title,Program Series,Program Type Keys,Venue,Hours,Attendance (in seats),Live Stream,Male Speakers,Female Speakers,People of Color (informal)
126,102015-TEI,10,20,2015,C2ST Speakeasy: A Diamond Age of Microelectronics,TEI,3,Geek Bar Chicago Beta,1.5,34,0,1,0,1
127,102115-SS,10,21,2015,Failure: Why Science is so Successful,SS,1,Chicago Tech Academy High School,1.5,57,4,1,0,0
128,110315-TEI,11,03,2015,C2ST Speakeasy: What's the deal with wearable technology?,TEI,3,Geek Bar Chicago Beta,1.5,42,0,1,0,1
129,111215-SS,11,12,2015,A Picture is Worth 1000 Words - Teaching Science with Comics,SS,1,"Baldwin Auditorium, Northwestern University",1.5,57,0,0,1,0
130,111715-TEI,11,17,2015,C2ST Speakeasy: Robot Revolution,TEI,3,Geek Bar Chicago Beta,1.5,54,0,0,2,0
131,120115-HW,12,01,2015,C2ST Speakeasy: Feeling Down? Maybe it's the Season.,HW,3,Geek Bar Chicago Beta,1.5,21,0,0,1,1
132,120115-SS,12,01,2015,2015 Women in STEM: Connect,SS,1,SAIC Ballroom,1.5,125,12,0,4,2
133,121515-TEI,12,15,2015,C2ST Speakeasy: Machine Learning and Medical Imaging,TEI,3,Geek Bar Chicago Beta,1.5,38,0,1,0,0
134,010516-CEE,01,05,2016,C2ST Speakeasy: Getting More Electricity out of Sunlight,CEE,3,Geek Bar Chicago Beta,1.5,51,0,1,0,0
135,011916-PS,01,19,2016,C2ST Speakeasy: Playback From Pluto,PS,3,Geek Bar Chicago Beta,1.5,34,0,1,0,0
136,020216-LS,02,02,2016,C2ST Speakeasy: Saving Giants of the Amazon,LS,3,Geek Bar Chicago Beta,1.5,20,0,0,1,1
137,021616-PS,02,16,2016,C2ST Speakeasy: The Dark Path to our Being,PS,3,Geek Bar Chicago Beta,1.5,40,0,1,0,1
138,022516-HW,02,25,2016,How we Treat Cancer,HW,1,Matter,1.5,88,14,2,1,0
139,030216-CEE,03,02,2016,The Future of Solar Energy,CEE,1,IIT,1.5,197,0,1,0,0
140,030916-CEE,03,09,2016,Climate Disruption: What we can do now,CEE,1,1871,1.5,70,9,1,0,0
141,031516-LS,03,15,2016,C2ST Speakeasy: Cannabis and the Developing Brain,LS,3,Geek Bar Chicago Beta,1.5,30,0,1,0,1
142,032316-HW,03,23,2016,The Science of Addiction,HW,1,DePaul - Lincoln Park,1.5,105,45,2,2,0
